rank,graph6,n,edges,alpha,theta_hi,delta_hi,theta_bulk,solver_diff,pr_hi,status_hi,perfect,chi_comp
312,HCQbfIw,9,15,3,3.3722813288,0.3722813288,3.3722813290002955,1.955e-10,5.620e-10,optimal,False,4
313,HCQbdpn,9,17,3,3.3722813287,0.3722813287,3.372281338704399,1.000e-08,8.436e-10,optimal,False,4
314,HCRb`zm,9,18,3,3.3722813285,0.3722813285,3.3722813159183613,1.262e-08,5.541e-10,optimal,False,4
315,HCQe`rf,9,16,3,3.3722813285,0.3722813285,3.372281323774987,4.746e-09,1.679e-09,optimal,False,4
316,HCQbdrt,9,17,3,3.3722813284,0.3722813284,3.372281329815604,1.374e-09,8.384e-10,optimal,False,4
317,HCQv@qe,9,15,3,3.3722813284,0.3722813284,3.3722813289602414,5.720e-10,6.302e-10,optimal,False,4
318,HCQbdqz,9,17,3,3.3722813283,0.3722813283,3.372281319084591,9.255e-09,1.076e-09,optimal,False,4
319,HCQbdq},9,17,3,3.3722813280,0.3722813280,3.3722813111639476,1.687e-08,5.340e-10,optimal,False,4
320,HCQTbIm,9,15,3,3.3722813278,0.3722813278,3.372281331038098,3.189e-09,4.359e-10,optimal,False,4
321,HCRbdg|,9,17,3,3.3722813277,0.3722813277,3.3722813181612663,9.563e-09,7.637e-10,optimal,False,4
322,HCQe`r{,9,16,3,3.3722813277,0.3722813277,3.372281324200649,3.491e-09,1.859e-09,optimal,False,4
323,HCQbeex,9,16,3,3.3722813275,0.3722813275,3.372281318302646,9.173e-09,1.209e-09,optimal,False,4
324,HCQbeT],9,16,3,3.3722813275,0.3722813275,3.3722813305685495,3.102e-09,5.686e-10,optimal,False,4
325,HCQbQrK,9,14,3,3.3722813274,0.3722813274,3.3722813274728054,8.904e-11,8.628e-10,optimal,False,4
326,HCQbeVw,9,16,3,3.3722813273,0.3722813273,3.372281332170431,4.861e-09,5.986e-10,optimal,False,4
327,HCRb`x},9,18,3,3.3722813271,0.3722813271,3.372281305242405,2.187e-08,2.902e-10,optimal,False,4
328,HCQbdrN,9,17,3,3.3722813271,0.3722813271,3.3722813240051446,3.073e-09,4.847e-10,optimal,False,4
329,HCQbdex,9,16,3,3.3722813270,0.3722813270,3.3722813237822176,3.264e-09,5.375e-10,optimal,False,4
330,HCQbdrk,9,16,3,3.3722813269,0.3722813269,3.3722813218852807,5.026e-09,4.090e-10,optimal,False,4
331,HCQbRbK,9,14,3,3.3722813269,0.3722813269,3.37228132819866,1.317e-09,6.268e-10,optimal,False,4
332,HCQe`qz,9,16,3,3.3722813266,0.3722813266,3.3722813237349767,2.913e-09,7.719e-10,optimal,False,4
333,HCQbdqx,9,16,3,3.3722813266,0.3722813266,3.372281337257782,1.071e-08,3.421e-10,optimal,False,4
334,HCQeRay,9,15,3,3.3722813263,0.3722813263,3.3722813277930896,1.472e-09,4.940e-10,optimal,False,4
335,HCQbdo|,9,16,3,3.3722813263,0.3722813263,3.3722813273012995,1.024e-09,2.505e-10,optimal,False,4
336,HCQe`qt,9,15,3,3.3722813262,0.3722813262,3.3722813422281552,1.602e-08,5.795e-10,optimal,False,4
337,HCQbdrY,9,16,3,3.3722813262,0.3722813262,3.3722813255520516,6.550e-10,4.143e-10,optimal,False,4
338,HCQe`pl,9,15,3,3.3722813262,0.3722813262,3.3722813315767897,5.401e-09,1.859e-09,optimal,False,4
339,HCOedG{,9,13,3,3.3722813262,0.3722813262,3.372281331023492,4.864e-09,2.766e-10,optimal,False,4
340,HCQe`rn,9,17,3,3.3722813261,0.3722813261,3.3722813221362955,3.963e-09,1.357e-09,optimal,False,4
341,HCQfJil,9,17,3,3.3722813260,0.3722813260,3.372281322264508,3.756e-09,4.775e-10,optimal,False,4
342,HCQe`rv,9,17,3,3.3722813254,0.3722813254,3.372281330897781,5.451e-09,1.609e-09,optimal,False,4
343,HCQbdrf,9,17,3,3.3722813254,0.3722813254,3.372281335880803,1.049e-08,5.292e-10,optimal,False,4
344,HCQe`r\,9,16,3,3.3722813252,0.3722813252,3.3722813231408653,2.024e-09,3.432e-10,optimal,False,4
345,HCQe`rd,9,15,3,3.3722813249,0.3722813249,3.372281331004214,6.092e-09,3.222e-09,optimal,False,4
346,HCQe`rH,9,14,3,3.3722813249,0.3722813249,3.3722813223092096,2.555e-09,2.807e-10,optimal,False,4
347,HCQe`ri,9,15,3,3.3722813249,0.3722813249,3.3722813341928886,9.336e-09,4.657e-10,optimal,False,4
348,HCQe`r[,9,15,3,3.3722813248,0.3722813248,3.3722813281561446,3.318e-09,1.971e-10,optimal,False,4
349,HCQe`qr,9,15,3,3.3722813248,0.3722813248,3.372281324543743,2.472e-10,4.901e-10,optimal,False,4
350,HCQe`p{,9,15,3,3.3722813247,0.3722813247,3.3722813367979256,1.207e-08,2.042e-10,optimal,False,4
351,HCQe`rx,9,16,3,3.3722813247,0.3722813247,3.37228132777287,3.096e-09,1.704e-09,optimal,False,4
352,HCQe`q|,9,16,3,3.3722813246,0.3722813246,3.3722813230503927,1.512e-09,2.049e-10,optimal,False,4
353,HCQe`r|,9,17,3,3.3722813245,0.3722813245,3.3722813296391205,5.175e-09,9.520e-10,optimal,False,4
354,HCQe`rz,9,17,3,3.3722813238,0.3722813238,3.3722813292135707,5.432e-09,1.028e-09,optimal,False,4
355,HCQe`rU,9,15,3,3.3722813237,0.3722813237,3.3722813349776275,1.126e-08,1.963e-10,optimal,False,4
356,HCQe`rJ,9,15,3,3.3722813237,0.3722813237,3.3722813264317764,2.757e-09,4.025e-10,optimal,False,4
357,HCRb`zY,9,17,3,3.3722813235,0.3722813235,3.372281320789809,2.694e-09,3.968e-10,optimal,False,4
358,HCQe`p|,9,16,3,3.3722813227,0.3722813227,3.3722813296196397,6.876e-09,1.353e-09,optimal,False,4
359,HCQe`r~,9,18,3,3.3722813226,0.3722813226,3.3722813186732554,3.919e-09,3.560e-10,optimal,False,4
360,HCpdQiw,9,15,3,3.3715816871,0.3715816871,3.371581642076963,4.499e-08,8.775e-10,optimal,False,4
361,HCpdRg{,9,16,3,3.3715811476,0.3715811476,3.371581145452246,2.146e-09,1.526e-09,optimal,False,4
362,HQyurzu,9,23,2,2.3701642193,0.3701642193,2.370164212580932,6.769e-09,1.935e-10,optimal,False,3
363,HCpdQjw,9,16,3,3.3660254171,0.3660254171,3.366025406350543,1.075e-08,1.945e-09,optimal,False,4
364,HCpdPzq,9,17,3,3.3660254156,0.3660254156,3.3660254026217276,1.298e-08,1.666e-09,optimal,False,4
365,HCpdbqi,9,16,3,3.3660254112,0.3660254112,3.3660253895546948,2.166e-08,1.146e-09,optimal,False,4
366,HCpdQjq,9,16,3,3.3660254082,0.3660254082,3.3660254038618156,4.386e-09,6.200e-10,optimal,False,4
367,HCpbPjK,9,15,3,3.3660254068,0.3660254068,3.366025411442262,4.635e-09,5.363e-10,optimal,False,4
368,HUZurzm,9,24,2,2.3660254056,0.3660254056,2.3660253971512537,8.446e-09,2.050e-10,optimal,False,3
369,HCQ`fi{,9,16,3,3.3603540082,0.3603540082,3.3603540087762123,5.684e-10,6.155e-10,optimal,False,4
370,H?bB@_W,9,9,4,4.3600895675,0.3600895675,4.360089589608329,2.215e-08,4.120e-09,optimal,False,5
371,HCRbdrS,9,16,3,3.3501277081,0.3501277081,3.350127647609797,6.048e-08,3.773e-09,optimal,False,4
372,HCpdQjK,9,15,3,3.3485780519,0.3485780519,3.348578053432993,1.530e-09,2.744e-10,optimal,False,4
373,HCRbczQ,9,16,3,3.3474305821,0.3474305821,3.347430569790135,1.228e-08,1.814e-09,optimal,False,4
374,HQyurj],9,22,2,2.3431457721,0.3431457721,2.3431457481882307,2.394e-08,2.999e-09,optimal,False,3
375,HQyurjy,9,22,2,2.3431457672,0.3431457672,2.343145757239302,9.962e-09,1.753e-09,optimal,False,3
376,HQyurji,9,21,2,2.3431457658,0.3431457658,2.3431457456958116,2.014e-08,2.898e-09,optimal,False,3
377,HQyurj},9,23,2,2.3431457601,0.3431457601,2.343145737314414,2.280e-08,1.406e-09,optimal,False,3
